Sample_ID,Date of collection,Box,Sex,Phenotype,Weight,Time_of_weight,Mean,SD,N,SE,Note,
P149_NW_F11,18-Apr,149,F,Lw,0.498,W0,,,,,,
P149_NW_F13,18-Apr,149,F,Lw,0.523,W0,,,,,,
P146_NW_F22,29-Apr,146,F,Lw,0.442,W0,,,,,,
P145_NW_F10,29-Apr,145,F,Lw,0.573,W0,,,,,,
P145_NW_F11,29-Apr,145,F,Lw,0.457,W0,,,,,,
P149_NW_F14,29-Apr,149,F,Lw,0.502,W0,,,,,,
P149_NW_F15,29-Apr,149,F,Lw,0.521,W0,,,,,,
P149_NW_F16,29-Apr,149,F,Lw,0.559,W0,,,,,,
P152_NW_F2,01-May,152,F,Lw,0.493,W0,,,,,,
P152_NW_F5,01-May,152,F,Lw,0.452,W0,,,,,,
P152_NW_F6,01-May,152,F,Lw,0.478,W0,,,,,,
P152_NW_F7,01-May,152,F,Lw,0.411,W0,,,,,,
P145_NW_F14,08-May,145,F,Lw,0.538,W0,,,,,,
P152_NW_F9,10-May,152,F,Lw,0.488,W0,,,,,,
P152_NW_F10,10-May,152,F,Lw,0.401,W0,,,,,,
P152_NW_F11,10-May,152,F,Lw,0.433,W0,,,,,,
P152_NW_F13,10-May,152,F,Lw,0.422,W0,,,,,,
P152_NW_F14,10-May,152,F,Lw,0.515,W0,,,,,,
P152_NW_F16,10-May,152,F,Lw,0.454,W0,,,,,,
P152_NW_F18,10-May,152,F,Lw,0.437,W0,,,,,,
P146_NW_F1,05-Apr,146,F,Lw,0.578,W2,0.632,0.064,42,0.010,,
P146_NW_F3,05-Apr,146,F,Lw,0.631,W2,,,,,,
P146_NW_F4,05-Apr,146,F,Lw,0.575,W2,,,,,,
P149_NW_F3,05-Apr,149,F,Lw,,W2,,,,,,
P149_NW_F4,05-Apr,149,F,Lw,0.635,W2,,,,,,
P149_NW_F6,05-Apr,149,F,Lw,0.686,W2,,,,,,
P149_NW_F7,05-Apr,149,F,Lw,0.590,W2,,,,,,
P149_NW_F8,05-Apr,149,F,Lw,0.697,W2,,,,,,
P149_NW_F9,05-Apr,149,F,Lw,0.588,W2,,,,,,
P145_NW_F4,14-Apr,145,F,Lw,0.764,W2,,,,,,
P145_NW_F5,14-Apr,145,F,Lw,0.731,W2,,,,,,
P145_NW_F6,14-Apr,145,F,Lw,0.678,W2,,,,,,
P145_NW_F7,14-Apr,145,F,Lw,0.674,W2,,,,,,
P145_NW_F8,14-Apr,145,F,Lw,0.557,W2,,,,,,
P146_NW_F5,17-Apr,146,F,Lw,0.588,W2,,,,,,
P146_NW_F9,17-Apr,146,F,Lw,0.662,W2,,,,,,
P146_NW_F11,17-Apr,146,F,Lw,0.664,W2,,,,,,
P146_NW_F12,17-Apr,146,F,Lw,0.554,W2,,,,,,
P146_NW_F13,17-Apr,146,F,Lw,0.645,W2,,,,,,
P146_NW_F16,17-Apr,146,F,Lw,0.627,W2,,,,,,
P146_NW_F17,17-Apr,146,F,Lw,0.576,W2,,,,,,
P146_NW_F19,17-Apr,146,F,Lw,0.568,W2,,,,,,
P146_NW_F20,17-Apr,146,F,Lw,0.602,W2,,,,,,
P149_NW_F11,18-Apr,149,F,Lw,0.655,W2,,,,,,
P149_NW_F13,18-Apr,149,F,Lw,0.708,W2,,,,,,
P146_NW_F22,29-Apr,146,F,Lw,0.611,W2,,,,,,
P145_NW_F10,29-Apr,145,F,Lw,0.655,W2,,,,,,
P145_NW_F11,29-Apr,145,F,Lw,0.642,W2,,,,,,
P149_NW_F14,29-Apr,149,F,Lw,0.652,W2,,,,,,
P149_NW_F15,29-Apr,149,F,Lw,0.642,W2,,,,,,
P149_NW_F16,29-Apr,149,F,Lw,0.756,W2,,,,,,
P152_NW_F2,01-May,152,F,Lw,0.668,W2,,,,,,
P152_NW_F5,01-May,152,F,Lw,0.570,W2,,,,,,
P152_NW_F6,01-May,152,F,Lw,0.591,W2,,,,,,
P152_NW_F7,01-May,152,F,Lw,0.579,W2,,,,,,
P145_NW_F14,08-May,145,F,Lw,0.771,W2,,,,,,
P152_NW_F9,10-May,152,F,Lw,0.624,W2,,,,,,
P152_NW_F10,10-May,152,F,Lw,0.541,W2,,,,,,
P152_NW_F11,10-May,152,F,Lw,0.566,W2,,,,,,
P152_NW_F13,10-May,152,F,Lw,0.511,W2,,,,,,
P152_NW_F14,10-May,152,F,Lw,0.730,W2,,,,,,
P152_NW_F16,10-May,152,F,Lw,0.632,W2,,,,,,
P152_NW_F18,10-May,152,F,Lw,0.550,W2,,,,,,
