Not_Use,Generation,Order_by_Cross_Type,Off_Sex,Prop,Pair_ID,Female,Male,Mother,Father,Parental_genotype,Parental_phenotype,Mother_genotype,Cross_Type,Off_M,Off_Lw_M,Off_Sw_M,Off_F,Off_Lw_F,Off_Sw_F,Prop.Sw.M,Prop.Sw.F,Note
N,F10-F11,4,M,0.49,86,B4_Lw_F2,B1_Sw_M17,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),37,19,18,39,25,14,0.49,0.36,
N,F10-F11,4,F,0.36,86,B4_Lw_F2,B1_Sw_M17,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),37,19,18,39,25,14,0.49,0.36,
N,F10-F11,4,M,0.44,115,B2_Lw_F18,B2_Sw_M28,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),36,20,16,29,16,13,0.44,0.45,
N,F10-F11,4,F,0.45,115,B2_Lw_F18,B2_Sw_M28,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),36,20,16,29,16,13,0.44,0.45,
N,F10-F11,4,M,0.43,122,B3_Lw_F20,B3_Sw_M13,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),21,12,9,10,6,4,0.43,0.4,
N,F10-F11,4,F,0.4,122,B3_Lw_F20,B3_Sw_M13,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),21,12,9,10,6,4,0.43,0.4,
N,F10-F11,4,M,0.38,134,B4_Lw_F19,B3_Sw_M10,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),13,8,5,12,9,3,0.38,0.25,
N,F10-F11,4,F,0.25,134,B4_Lw_F19,B3_Sw_M10,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),13,8,5,12,9,3,0.38,0.25,
N,F10-F11,4,M,0.47,142,B3_Lw_F24,B3_Sw_M19,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),45,24,21,27,17,10,0.47,0.37,
N,F10-F11,4,F,0.37,142,B3_Lw_F24,B3_Sw_M19,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),45,24,21,27,17,10,0.47,0.37,
N,F10-F11,4,M,0.41,143,B4_Lw_F26,B3_Sw_M18,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),27,16,11,24,13,11,0.41,0.46,
N,F10-F11,4,F,0.46,143,B4_Lw_F26,B3_Sw_M18,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),27,16,11,24,13,11,0.41,0.46,
